station_name,fmisid,latitude,longitude
Porvoo Kilpilahti satama,100683,60.30373,25.54916
Jomala Maarianhamina lentoasema,100907,60.12735,19.90038
Parainen Utö,100908,59.77909,21.37479
Lemland Nyhamn,100909,59.95911,19.95374
Jomala Jomalaby,100917,60.17824,19.98686
Hammarland Märket,100919,60.30098,19.13142
Kökar Bogskär,100921,59.50454,20.34748
Parainen Fagerholm,100924,60.11163,21.69828
Kumlinge kirkonkylä,100928,60.25823,20.74698
Hanko Russarö,100932,59.77363,22.94868
Kaarina Yltöinen,100934,60.3869,22.55183
Kemiönsaari Vänö,100945,59.86949,22.19343
Hanko Tulliniemi,100946,59.80864,22.91246
Turku Rajakari,100947,60.37788,22.0964
Turku Artukainen,100949,60.45439,22.1787
Kemiönsaari Kemiö,100951,60.17123,22.75768
Hanko Tvärminne,100953,59.84383,23.24859
Salo Kärkkä,100955,60.37392,23.11292
Raasepori Jussarö,100965,59.82076,23.57309
Salo Kiikala lentokenttä,100967,60.46415,23.64976
Vantaa Helsinki-Vantaan lentoasema,100968,60.32937,24.97274
Inkoo Bågaskär,100969,59.93114,24.01408
Helsinki Kaisaniemi,100971,60.17523,24.94459
Lohja Porla,100974,60.24446,24.04951
Vihti Maasoja,100976,60.41875,24.39862
Helsinki Harmaja,100996,60.10512,24.97539
Kirkkonummi Mäkiluoto,100997,59.91982,24.35023
Helsinki Helsingin majakka,101003,59.94898,24.92631
Helsinki Kumpula,101004,60.20307,24.96131
Helsinki Malmi lentokenttä,101009,60.25299,25.04549
Porvoo Kalbådagrund,101022,59.98568,25.59879
Porvoo Emäsalo,101023,60.20382,25.62546
Porvoo Harabacka,101028,60.39172,25.6073
Kotka Rankki,101030,60.37538,26.95893
Loviisa Orrengrund,101039,60.27476,26.44759
Kotka Haapasaari,101042,60.28676,27.18482
Pori lentoasema,101044,61.46011,21.80839
Kustavi Isokari,101059,60.7222,21.02681
Rauma Kylmäpihlaja,101061,61.14475,21.30273
Pori rautatieasema,101064,61.47893,21.7832
Turku lentoasema,101065,60.51565,22.27916
Kokemäki Tulkkila,101103,61.25294,22.34613
Jokioinen Ilmala,101104,60.81397,23.49825
Pirkkala Tampere-Pirkkala lentoasema,101118,61.4194,23.62256
Tampere Härmälä,101124,61.46561,23.74678
Somero Salkola,101128,60.64668,23.80559
Hyvinkää Hyvinkäänkylä,101130,60.59589,24.80297
Hämeenlinna Katinen,101150,60.9992,24.49163
Hattula Lepaa,101151,61.11454,24.32449
Hämeenlinna Lammi Pappila,101154,61.05408,25.03844
Asikkala Pulkkilanharju,101185,61.26521,25.52021
Kouvola Utti lentoasema,101191,60.89839,26.94882
Kouvola Anjala,101194,60.6965,26.81106
Heinola Asemantaus,101196,61.20008,26.04967
Virolahti Koivuniemi,101231,60.5272,27.67274
Lappeenranta lentoasema,101237,61.0403,28.12916
Lappeenranta Konnunsuo,101246,61.03879,28.56395
Lappeenranta Hiekkapakka,101252,61.1982,28.47308
Parikkala Koitsanlahti,101254,61.44467,29.46108
Kaskinen Sälgrund,101256,62.33382,21.19081
Pori Tahkoluoto satama,101267,61.63042,21.3762
Kristiinankaupunki Majakka,101268,62.20324,21.16983
