train_station_name,train_station_short_code,train_lat,train_long,ems_1_station,ems_1_lat,ems_1_long,ems_1_distance_km,ems_2_station,ems_2_lat,ems_2_long,ems_2_distance_km,ems_3_station,ems_3_lat,ems_3_long,ems_3_distance_km,ems_4_station,ems_4_lat,ems_4_long,ems_4_distance_km,ems_5_station,ems_5_lat,ems_5_long,ems_5_distance_km
Ahonpää,AHO,64.537118,25.006783,Siikajoki Ruukki,64.68421,25.08919,16.82,Raahe Lapaluoto satama,64.66589,24.40695,31.99,Oulu lentoasema,64.93503,25.3392,46.97,Haapavesi Mustikkamäki,64.14263,25.42335,48.23,Raahe Nahkiainen,64.61178,23.89674,53.64
Ahvenus,AHV,61.291923,22.498185,Kokemäki Tulkkila,61.25294,22.34613,9.21,Pori lentoasema,61.46011,21.80839,41.23,Pori rautatieasema,61.47893,21.7832,43.38,Rauma Pyynpää,61.13658,21.51518,55.4,Kankaanpää Niinisalo lentokenttä,61.83864,22.46368,60.82
Ainola,AIN,60.455619,25.101895,Järvenpää Sorto,60.49825,25.06755,5.1,Vantaa Helsinki-Vantaan lentoasema,60.32937,24.97274,15.73,Mäntsälä Hirvihaara,60.62773,25.19342,19.78,Hyvinkää Hyvinkäänkylä,60.59589,24.80297,22.6,Helsinki Malmi lentokenttä,60.25299,25.04549,22.74
Airaksela,ARL,62.724396,27.4295,Kuopio Savilahti,62.89256,27.63331,21.38,Kuopio Ritoniemi,62.79892,27.90495,25.58,Siilinjärvi Kuopio lentoasema,62.99842,27.80817,36.02,Kuopio Maaninka,63.14343,27.31317,46.96,Varkaus Kosulanniemi,62.32221,27.90785,51.01
Aittaluoto,ATL,61.476933,21.84537,Pori lentoasema,61.46011,21.80839,2.71,Pori rautatieasema,61.47893,21.7832,3.31,Pori Tahkoluoto satama,61.63042,21.3762,30.15,Kokemäki Tulkkila,61.25294,22.34613,36.5,Rauma Pyynpää,61.13658,21.51518,41.75
Ajos,AJO,65.673679,24.541716,Kemi Ajos,65.67318,24.51519,1.22,Kemi Kemi-Tornio lentoasema,65.78944,24.58278,13.01,Tornio Kaakkuri,65.84733,24.17369,25.6,Kemi I majakka,65.38508,24.09568,38.1,Tervola Loue,66.15352,24.99031,57.11
Alapitkä,APT,63.200823,27.535426,Kuopio Maaninka,63.14343,27.31317,12.85,Siilinjärvi Kuopio lentoasema,62.99842,27.80817,26.36,Kuopio Savilahti,62.89256,27.63331,34.63,Kuopio Ritoniemi,62.79892,27.90495,48.43,Rautavaara Ylä-Luosta,63.37806,28.66166,59.64
Alavus,ALV,62.617769,23.600437,Ähtäri Inha,62.55461,24.14239,28.62,Virrat Äijänneva,62.32783,23.54228,32.38,Ilmajoki Seinäjoki lentoasema,62.68571,22.84272,39.44,Alajärvi Möksy,63.08898,24.26084,62.19,Kauhava lentokenttä,63.12033,23.04364,62.61
Alholma,ALH,63.706765,22.695265,Pietarsaari Kallan,63.75144,22.52282,9.83,Kruunupyy Kokkola-Pietarsaari lentoasema,63.72655,23.14359,22.18,Kokkola Santahaka,63.83882,23.09715,24.61,Kokkola Tankar,63.95114,22.84537,28.15,Kauhava lentokenttä,63.12033,23.04364,67.47
Arola,ARO,64.450787,29.022513,Sotkamo Kuolaniemi,64.11197,28.33639,50.15,Puolanka Paljakka,64.66392,28.0567,51.87,Suomussalmi Pesiö,64.93125,28.74672,55.01,Kuhmo Kalliojoki,64.29756,30.17068,57.78,Kajaani Petäisenniska,64.21678,27.75194,66.49
