passengerTraffic,type,stationName,stationShortCode,stationUICCode,countryCode,longitude,latitude
False,STATION,Ahonpää,AHO,1343,FI,25.006783,64.537118
False,STATION,Ahvenus,AHV,1000,FI,22.498185,61.291923
True,STOPPING_POINT,Ainola,AIN,628,FI,25.101895,60.455619
False,STATION,Airaksela,ARL,869,FI,27.4295,62.724396
False,STATION,Aittaluoto,ATL,676,FI,21.84537,61.476933
False,STATION,Ajos,AJO,767,FI,24.541716,65.673679
False,STATION,Alapitkä,APT,415,FI,27.535426,63.200823
True,STATION,Alavus,ALV,284,FI,23.600437,62.617769
False,STATION,Alholma,ALH,308,FI,22.695265,63.706765
False,STATION,Arola,ARO,939,FI,29.022513,64.450787
False,STATION,Asola,ASO,1340,FI,25.047287,60.320974
True,STOPPING_POINT,Aviapolis,AVP,1331,FI,24.956191,60.30435
False,STATION,Buslovskaja,BSL,2140,RU,28.3777,60.840338
True,STATION,Dragsvik,DRA,167,FI,23.488607,59.990199
False,TURNOUT_IN_THE_OPEN_LINE,Dynamiittivaihde,DMV,581,FI,23.084138,59.866408
True,STOPPING_POINT,Eläinpuisto-Zoo,EPZ,623,FI,24.191479,62.540677
True,STATION,Eno,ENO,464,FI,30.141691,62.806375
False,STATION,Ervelä,ERV,1004,FI,23.22228,60.203374
False,STATION,Eskola,ELA,318,FI,24.151369,63.914902
True,STATION,Espoo,EPO,66,FI,24.655992,60.205067
True,STATION,Haapajärvi,HPJ,330,FI,25.33434,63.754515
False,STATION,Haapakoski,HPS,402,FI,27.175449,62.452365
True,STATION,Haapamäki,HPK,200,FI,24.455067,62.246476
True,STATION,Haaparanta pohjoinen,HPA,10726,SE,24.130219,65.828226
True,STATION,Haarajoki,HAA,13,FI,25.13382,60.496261
False,STATION,Hakosilta,HLT,1014,FI,25.513357,60.925032
True,STOPPING_POINT,Haksi,HSI,1015,FI,25.554663,60.408207
False,STATION,Hamina,HMA,527,FI,27.166505,60.55232
False,STATION,Hammaslahti,HSL,451,FI,29.968366,62.430216
False,STATION,Hanala,HNA,1018,FI,25.072363,60.339607
False,STATION,Hangonsaari,HGS,1020,FI,21.360988,60.7992
False,TURNOUT_IN_THE_OPEN_LINE,Hanhikoski,HNH,812,FI,27.219836,66.695831
True,STATION,Hankasalmi,HKS,427,FI,26.478116,62.302807
True,STATION,Hanko asema,HNK,73,FI,22.968291,59.826865
False,STATION,Hanko tavara,HNKT,1317,FI,22.981473,59.828617
True,STATION,Hanko-Pohjoinen,HKP,879,FI,22.988361,59.830141
True,STATION,Harjavalta,HVA,218,FI,22.133261,61.309689
False,STATION,Harju,HJ,985,FI,26.677153,60.940616
False,STATION,Harviala,HRV,622,FI,24.57693,60.95365
False,STATION,Haukipudas,HD,342,FI,25.407075,65.195636
False,STATION,Haukivuori,HAU,549,FI,27.202606,62.025658
False,STATION,Hausjärvi tavara,HAS,340,FI,25.014992,60.785411
False,STATION,Haviseva,HVS,1021,FI,24.087374,61.550664
False,STATION,Havukoski,HVK,1334,FI,25.051833,60.308402
False,STATION,Heikkilä,HEK,1023,FI,24.480906,60.121966
False,STATION,Heinola,HA,113,FI,26.046963,61.20317
False,STATION,Heinoo,HNO,1025,FI,22.971145,61.394254
False,STATION,Heinävaara,HÄV,924,FI,30.190207,62.55575
True,STATION,Heinävesi,HNV,437,FI,28.643419,62.382542
True,STATION,Helsinki asema,HKI,1,FI,24.941444,60.171356
False,STATION,Helsinki Kivihaka,KHK,1028,FI,24.917191,60.209813
False,STATION,Helsinki Louhenpuisto,LOP,1370,FI,24.93398,60.20884
False,STATION,Helsinki Veräjälaakso,VRJ,1371,FI,24.973708,60.231999
True,STATION,Henna,HNN,1164,FI,25.494389,60.799132
True,STOPPING_POINT,Herrala,HR,96,FI,25.475624,60.896944
True,STATION,Hiekkaharju,HKH,556,FI,25.049296,60.303067
False,STATION,Hiirola,HIR,997,FI,27.315826,61.808118
True,STOPPING_POINT,Hikiä,HK,91,FI,24.919201,60.752588
True,STATION,Hillosensalmi,HLS,988,FI,26.789163,61.193088
True,STOPPING_POINT,Hinthaara,HH,561,FI,25.477951,60.399764
False,STATION,Hirvineva,HVN,1041,FI,25.227499,64.733984
True,STATION,Humppila,HP,144,FI,23.362536,60.919507
True,STATION,Huopalahti,HPL,72,FI,24.893523,60.21835
False,STATION,Huutokoski,HKO,430,FI,27.68887,62.210069
False,STATION,Hyrkäs,HYR,1348,FI,26.22007,64.788806
False,STATION,Hyrynsalmi,HYS,392,FI,28.462708,64.683757
True,STATION,Hyvinkää asema,HY,30,FI,24.857481,60.63126
False,STATION,Hyvinkää Paavola,PVL,1368,FI,24.840155,60.650153
False,STATION,Hyvinkää tavara,HYT,1367,FI,24.846961,60.625655
True,STATION,Hämeenlinna,HL,47,FI,24.478851,61.002368
True,STATION,Härmä,HM,300,FI,22.876631,63.234321
True,STOPPING_POINT,Höljäkkä,HÖL,938,FI,29.44413,63.454874
False,STATION,Ii,II,343,FI,25.441902,65.318819
False,TURNOUT_IN_THE_OPEN_LINE,Iisalmen teollisuusraiteet,ITR,1049,FI,27.213924,63.545757
True,STATION,Iisalmi,ILM,420,FI,27.201109,63.560099
False,TURNOUT_IN_THE_OPEN_LINE,Iisalmi (R983),R983,98987,FI,27.190402,63.584516
True,STOPPING_POINT,Iittala,ITA,154,FI,24.140789,61.090616
True,STATION,Ilmala asema,ILA,9,FI,24.920636,60.208134
False,STATION,Ilmala ratapiha,ILR,1030,FI,24.928154,60.21312
False,STOPPING_POINT,Ilola,IOA,1345,FI,23.875154,61.229936
False,STATION,Ilomantsi,ILO,459,FI,30.941562,62.666381
True,STATION,Imatra asema,IMR,603,FI,28.776017,61.195914
False,STATION,Imatra tavara,IMT,502,FI,28.812093,61.208116
False,STATION,Imatrankoski,IMK,504,FI,28.788045,61.170432
False,STATION,Imatrankoski-raja,IMKR,503,FI,28.831782,61.124973
False,STATION,Immola,IM,1352,FI,28.883766,61.246855
False,TURNOUT_IN_THE_OPEN_LINE,Inha,IN,264,FI,24.146053,62.550706
True,STATION,Inkeroinen,IKR,530,FI,26.839178,60.696674
True,STATION,Inkoo,IKO,62,FI,23.93585,60.061511
True,STATION,Isokyrö,IKY,295,FI,22.394797,62.951072
False,STATION,Jalasjärvi,JAL,276,FI,22.954266,62.472534
False,STATION,Jepua,JPA,303,FI,22.655272,63.408383
True,STATION,Joensuu asema,JNS,460,FI,29.777033,62.599536
False,STATION,Joensuu Koppola,KPP,1369,FI,29.79147,62.572314
False,STATION,Joensuu Peltola,PLT,1070,FI,29.771729,62.593453
False,STATION,Joensuu Sulkulahti,SUL,1071,FI,29.775371,62.58571
True,STATION,Jokela,JK,28,FI,24.970682,60.552798
False,TURNOUT_IN_THE_OPEN_LINE,Joroinen,JOR,431,FI,27.808684,62.17479
True,STOPPING_POINT,Jorvas,JRS,578,FI,24.512776,60.137885
True,STATION,Joutseno,JTS,499,FI,28.488252,61.120291
False,STATION,Juankoski,JKI,414,FI,28.318074,63.063182
False,STATION,Jutila,JUT,1085,FI,25.123661,60.837131
True,STOPPING_POINT,Juupajoki,JJ,627,FI,24.365046,61.796788
False,STATION,Juurikorpi,JRI,535,FI,26.938127,60.604162
True,STATION,Jyväskylä,JY,240,FI,25.754984,62.241455
True,STATION,Jämsä,JÄS,204,FI,25.173294,61.865627
False,STATION,Jämsänkoski,JSK,205,FI,25.171247,61.89613
True,STATION,Järvelä,JR,95,FI,25.274659,60.867325
True,STATION,Järvenpää asema,JP,25,FI,25.090796,60.473684
False,STATION,Kaipiainen,KPA,485,FI,27.117721,60.900137
False,STATION,Kaipola,KLA,656,FI,25.214721,61.816678
False,STATION,Kaitjärvi,KJR,944,FI,27.346311,60.910768
True,STATION,Kajaani,KAJ,387,FI,27.738374,64.219716
False,TURNOUT_IN_THE_OPEN_LINE,Kaleton,KTN,697,FI,24.791661,62.239687
False,STATION,Kalkku,KAU,639,FI,23.572333,61.496551
False,TURNOUT_IN_THE_OPEN_LINE,Kalliovarasto,KAO,1090,FI,27.909191,64.281152
False,STATION,Kalvitsa,KSA,548,FI,27.285129,61.910592
False,STATION,Kangas,KGS,1092,FI,24.71276,64.143616
True,STATION,Kannelmäki,KAN,658,FI,24.877004,60.239562
False,STATION,Kannonkoski,KSI,256,FI,25.270005,62.983598
True,STATION,Kannus,KNS,317,FI,23.915361,63.898425
False,STATION,Karhejärvi,KRR,1095,FI,23.390356,61.750017
False,STATION,Karhukangas,KHG,1097,FI,24.43962,64.024376
True,STATION,Karjaa,KR,60,FI,23.66126,60.068724
True,STATION,Karkku,KRU,178,FI,23.049129,61.443314
False,STATION,Karviainen,KAR,1100,FI,22.558744,60.62317
False,STATION,Kaskinen,KSK,267,FI,21.229972,62.381061
False,STATION,Kattilaharju,KTH,1319,FI,26.959698,60.880135
False,STATION,Kauhajoki,KJI,272,FI,22.211614,62.459927
True,STATION,Kauhava,KHA,299,FI,23.0353,63.099643
True,STATION,Kauklahti asema,KLH,65,FI,24.600354,60.189456
False,STATION,Kaulinranta,KLR,790,FI,23.712767,66.466907
True,STATION,Kauniainen,KNI,67,FI,24.730884,60.211939
False,STATION,Kauppilanmäki,KPL,423,FI,27.227847,63.709557
True,STOPPING_POINT,Kausala,KA,477,FI,26.329366,60.885347
