year,month,day_of_month,day_of_week,total_trains_on_route,total_schedules_by_day,avg_stops_per_train,cancelled_trains_by_day,cancelled_stops_by_day,delay_count_by_day,delay_rate,delay_count_arrivals,delay_count_departures,max_delay_minutes,avg_delay_minutes,median_delay_minutes,delays_5_15min,delays_15_30min,delays_30_60min,delays_over_60min,first_stop_delay_count,delay_propagation_ratio,delay_count_by_train_type,top_10_common_delays,rolling_delay_rate_7d
2018,1,1,1,202,15242,75.46,0,34,3957,0.2596,1987,1970,78,10.8,8.0,3369,469,88,31,20,0.0338,"{""IC"": 2848, ""S"": 740, ""PVV"": 104, ""PYO"": 97, ""HDM"": 26, ""AE"": 124, ""MV"": 18}","[5, 6, 7, 8, 10, 9, 12, 13, 11, 14]",0.2596
2018,1,2,2,246,17776,72.26,0,0,5387,0.303,2683,2704,85,12.97,9.0,4041,988,311,47,34,0.0234,"{""IC"": 4028, ""S"": 832, ""PVV"": 237, ""PYO"": 66, ""HSM"": 32, ""HDM"": 58, ""AE"": 134}","[5, 6, 7, 8, 10, 9, 11, 12, 14, 13]",0.2813
2018,1,3,3,247,17808,72.1,5,92,3849,0.2161,1924,1925,48,10.35,8.0,3064,699,86,0,20,0.037,"{""IC"": 2983, ""S"": 434, ""PVV"": 116, ""PYO"": 138, ""HSM"": 28, ""HDM"": 34, ""AE"": 100, ""MV"": 16}","[5, 6, 7, 8, 9, 10, 12, 11, 13, 19]",0.2596
2018,1,4,4,247,17596,71.24,2,28,3982,0.2263,2000,1982,105,12.33,8.0,3284,502,68,128,24,0.0315,"{""IC"": 3122, ""S"": 358, ""PVV"": 172, ""PYO"": 75, ""HSM"": 70, ""HDM"": 74, ""AE"": 101, ""MV"": 10}","[5, 6, 7, 8, 9, 10, 11, 12, 14, 13]",0.2512
2018,1,5,5,253,18560,73.36,0,0,4144,0.2233,2073,2071,39,11.06,8.0,3258,763,123,0,22,0.0319,"{""IC"": 2981, ""PVV"": 72, ""S"": 638, ""PYO"": 195, ""HSM"": 6, ""HDM"": 76, ""MV"": 176}","[5, 6, 7, 8, 9, 10, 11, 12, 14, 13]",0.2457
2018,1,6,6,191,14952,78.28,4,360,2895,0.1936,1450,1445,57,11.96,8.0,2066,636,193,0,19,0.0368,"{""IC"": 2079, ""PVV"": 124, ""S"": 532, ""PYO"": 102, ""HSM"": 18, ""HDM"": 35, ""AE"": 5}","[5, 6, 7, 8, 9, 16, 10, 13, 14, 15]",0.237
2018,1,7,7,203,14978,73.78,1,48,5118,0.3417,2558,2560,82,13.16,10.0,3551,1237,328,2,26,0.0228,"{""IC"": 3640, ""S"": 754, ""PVV"": 182, ""PYO"": 135, ""HSM"": 16, ""HDM"": 32, ""AE"": 249, ""MV"": 110}","[5, 6, 7, 8, 9, 11, 10, 12, 13, 14]",0.2519
2018,1,8,1,244,17134,70.22,0,0,5248,0.3063,2640,2608,58,13.76,9.0,3474,1316,458,0,34,0.025,"{""IC"": 3822, ""S"": 1070, ""PVV"": 46, ""HSM"": 28, ""HDM"": 76, ""AE"": 167, ""MV"": 39}","[5, 6, 7, 8, 9, 12, 11, 10, 16, 13]",0.2586
2018,1,9,2,252,17560,69.68,1,86,4210,0.2397,2117,2093,167,19.54,9.0,3063,517,194,436,22,0.029,"{""S"": 523, ""IC"": 3103, ""PVV"": 119, ""HSM"": 21, ""HDM"": 70, ""AE"": 179, ""MV"": 195}","[5, 6, 7, 8, 9, 10, 11, 13, 12, 14]",0.2496
2018,1,10,3,245,17274,70.51,0,0,4394,0.2544,2209,2185,56,11.85,9.0,3153,1087,154,0,27,0.0307,"{""IC"": 3278, ""S"": 826, ""PVV"": 8, ""PYO"": 57, ""HSM"": 51, ""HDM"": 106, ""AE"": 44, ""MV"": 24}","[5, 6, 7, 8, 9, 10, 11, 12, 16, 15]",0.255
